ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
5524,1957.0,Graduation,Single,58138.0,0,0,04-09-2012,58,,88.0,546.0,172,88,88,3,,10,4,7,0,0,0,0,0,0,3,11,1
2174,,Graduation,Single,46344.0,1,1,08-03-2014,38,,1.0,,2,1,6,2,,1,2,5,0,0,0,0,0,0,3,11,0
4141,,Graduation,Together,,0,0,21-08-2013,26,426.0,,127.0,111,21,42,1,8.0,2,10,4,0,0,0,0,0,0,3,11,0
6182,,Graduation,Together,26646.0,1,0,10-02-2014,26,11.0,4.0,,10,3,5,2,,0,4,6,0,0,0,0,0,0,3,11,0
5324,,PhD,Married,58293.0,1,0,19-01-2014,94,173.0,43.0,,46,27,15,5,5.0,3,6,5,0,0,0,0,0,0,3,11,0
7446,,Master,Together,62513.0,0,1,09-09-2013,16,520.0,,98.0,0,42,14,2,,4,10,6,0,0,0,0,0,0,3,11,0
965,1971.0,Graduation,Divorced,,0,1,13-11-2012,34,,,,50,49,27,4,7.0,3,7,6,0,0,0,0,0,0,3,11,0
6177,1985.0,PhD,Married,33454.0,1,0,08-05-2013,32,76.0,,,3,1,23,2,4.0,0,4,8,0,0,0,0,0,0,3,11,0
4855,,PhD,Together,30351.0,1,0,06-06-2013,19,,,24.0,3,3,2,1,,0,2,9,0,0,0,0,0,0,3,11,1
5899,,PhD,Together,5648.0,1,1,13-03-2014,68,,0.0,6.0,1,1,13,1,,0,0,20,1,0,0,0,0,0,3,11,0
1994,,Graduation,Married,,1,0,15-11-2013,11,5.0,5.0,6.0,0,2,1,1,1.0,0,2,7,0,0,0,0,0,0,3,11,0
387,1976.0,Basic,Married,7500.0,0,0,13-11-2012,59,6.0,,,11,1,16,1,2.0,0,3,8,0,0,0,0,0,0,3,11,0
2125,,Graduation,Divorced,63033.0,0,0,15-11-2013,82,194.0,,480.0,225,112,30,1,3.0,4,8,2,0,0,0,0,0,0,3,11,0
8180,,Master,Divorced,,1,1,15-11-2013,53,,2.0,53.0,3,5,14,3,6.0,1,5,6,0,0,0,0,0,0,3,11,0
2569,,Graduation,Married,17323.0,0,0,10-10-2012,38,,,,6,1,5,1,1.0,0,3,8,0,0,0,0,0,0,3,11,0
2114,,PhD,Single,,0,0,24-11-2012,23,1006.0,22.0,,59,68,45,1,,6,12,3,0,0,1,1,0,0,3,11,1
9736,1980.0,Graduation,Married,41850.0,1,1,24-12-2012,51,53.0,5.0,,2,13,4,3,,0,3,8,0,0,0,0,0,0,3,11,0
4939,,Graduation,Together,37760.0,0,0,31-08-2012,20,,,,150,12,28,2,,1,6,7,0,0,0,0,0,0,3,11,0
6565,1949.0,Master,Married,,0,1,28-03-2013,91,1012.0,80.0,498.0,0,16,176,2,11.0,4,9,5,0,0,0,1,0,0,3,11,0
2278,,2n Cycle,Single,33812.0,1,0,03-11-2012,86,,,19.0,30,24,39,2,2.0,1,3,6,0,0,0,0,0,0,3,11,0
